NODE_ID,NODE_TYPE,NODE_NAME,TURN_P,REMARK
1020001800,101,보광동입구교차로,1,
1020002000,101,뽐네일,0,
1020002800,101,강변삼성아파트,0,
1020003000,101,녹사평역,1,
1020003100,101,이태원역앞교차로,0,
1020003500,101,신창제일교회앞,0,
1020003700,101,용문시장앞교차로,0,
1020003800,101,용산구청,1,
1020003801,101,원효로1가23-18,0,
1020004200,101,도화현대아파트,0,
1020004700,101,남영동삼거리,0,
1020005100,101,효창공원교차로,0,
1020005500,101,용산중교앞,0,
1020005700,103,속성변화점,0,
1020006100,101,서울역앞교차로,1,
1020006200,101,여우목길-이촌동길삼거,0,
1020006300,106,동작대교북측,0,
1020006400,106,동작대교북측,0,
1020006500,101,사촌5길삼거리,0,
1020006700,106,동작대교북측,0,
1020006800,106,동작대교북측,0,
1020006900,106,사누끼,0,
1020007000,106,이촌동300-309,0,
1020007200,106,서빙고동우편취급소,0,
1020007300,106,신동아쇼핑지하차도,1,
1020007500,106,반포대교북측,0,
1020007600,101,서빙고동271-100,0,
1020007700,101,이촌지하차도,1,
1020007800,103,속성변화점,1,
1020007900,104,이촌지하차도서측,0,
1020007901,101,이촌동301-163,0,
1020008000,104,이촌지하차도동측,0,
1020008200,101,이촌동강촌아파트,0,
1020008300,101,동작대교북측,0,
1020008400,104,반포대교,0,
1020008500,104,반포대교,0,
1020008600,106,장미맨션,0,
1020008700,106,한강대교북측,0,
1020008800,101,원유치원,0,
1020008900,101,용산동6가68-2,0,
1020009000,101,로얄상가,0,
1020009100,101,용산동6가68-28,0,
1020009200,106,충신교회어린이집,0,
1020009300,101,반포대교북측,1,
1020009400,106,서빙고동주민센터,0,
1020009600,101,서빙고역1번출구,0,
1020009800,101,서빙고역앞교차로,1,
1020010200,101,한강맨션,0,
1020010300,104,반포대교고가차도,0,
1020010400,101,한강교회,0,
1020010500,101,신용산APT,0,
1020010600,101,한가람아파트,1,
1020010700,106,타워맨션,0,
1020010800,101,풍산교회,0,
1020010900,106,타워맨션,0,
1020011000,101,이촌역4번출구,0,
1020011100,101,라테르빌,0,
1020011200,101,수정아파트,1,
1020011300,106,노들견우카페,0,
1020011500,101,타워맨션,0,
1020011600,104,반포대교고가차도,0,
1020011700,101,충신교회주차장,0,
1020011800,101,대우아파트,0,
1020011900,106,노들직녀카페,0,
1020012000,106,이촌한강공원한강축구장,0,
1020012100,104,한강대교북측,0,
1020012400,101,한강대교북단교차로,1,
1020012500,101,한강대교북측,0,
1020012600,106,해늘어린이집,1,
1020012700,101,한강대우아파트,1,
1020012800,106,해늘어린이집,0,
1020012900,106,이촌우성아파트,0,
1020013000,101,용산대우드림월드3차,0,
1020013200,101,이촌역앞교차로,1,
1020013201,101,용산공업고등학교,1,
1020013202,101,이촌역앞교차로,1,
1020013300,104,반포고가차도북측,0,
1020013400,101,베론리버빌,0,
1020013500,104,이촌고가차도남측,0,
1020013700,101,동빙고어린이집,0,
1020013701,101,동빙고동9-4,0,
1020013800,101,보광동,0,
1020013900,101,보광동,0,
1020014200,104,이촌고가차도북측,0,
1020014300,106,에린집,0,
1020014400,101,한강중교앞교차로,1,
1020014500,101,노정치과의원,0,
1020014600,101,정상학원,0,
1020014700,106,늘봄어린이집,0,
1020014800,101,용산역앞교차로,0,
1020014801,101,한강로2가410,0,
1020014802,101,용산역사거리,1,
1020014803,101,한강로3가40-999,1,
1020014900,104,보광고가차도동측,0,
1020015000,103,속성변화점,1,
1020015100,106,원효대교북측,0,
1020015200,101,용산역,1,
1020015300,101,현대하이페리온아파트,1,
1020015400,101,우루과이대사관저,0,
1020015500,106,한남동782,0,
1020015600,101,스타벅스동빙고점,0,
1020015700,101,한남역앞,1,
1020015800,101,용산역광장앞삼거리,1,
1020015900,106,한남대교북측,0,
1020016000,106,한남대교북측,0,
1020016100,101,한남역1번출구,0,
1020016200,101,한남역1번출구,0,
1020016400,101,스타벅스동빙고점,0,
1020016500,101,철도건설본부,1,
1020016600,101,스타벅스동빙고점,1,
1020016800,101,전자상가입구교차로,0,
1020016900,106,이촌119안전센터,0,
1020017000,101,운남자동차용품백화점,0,
1020017100,101,한남주차장,0,
1020017300,106,원효대교북측,0,
1020017400,106,원효대교북측,0,
1020017500,106,이촌119안전센터,0,
1020017700,101,한남주차장,1,
1020017800,101,유미빌딩,1,
1020017900,101,한남주차장,0,
1020018000,101,주님의교회,0,
1020018100,101,정수기능대학,0,
1020018200,101,찬우물삼거리,0,
1020018300,106,준빌라4차,0,
1020018400,101,원효대교북측,0,
1020018500,101,한남주차장,0,
1020018600,101,한남주차장,0,
1020018700,101,원효대교북측,0,
1020018900,106,현대자동차중부지역본부,0,
1020019100,101,원효대교북측,1,
1020019200,106,현대자동차중부지역본부,0,
1020019300,101,원효대교북측,0,
1020019500,104,한남2고가차도남측,0,
1020019600,101,보광초교,1,
1020019700,101,원효대교북측,0,
1020019800,101,원효대교북단교차로,0,
1020020000,101,예림가구전시장,1,
1020020100,106,원효대교북측,0,
1020020200,101,원효대교북측,0,
1020020300,101,용안카센타,0,
1020020400,101,원효대교북단,1,
1020020500,101,현대정비공장앞,1,
1020020600,101,한강로3가16-65,0,
1020020700,101,현대시장,1,
1020020800,101,현대자동차서비스,0,
1020020900,101,용산전자단지우체국,1,
1020021000,101,원효전자상가,1,
1020021100,101,원효대교북측,0,
1020021200,101,산호APT,1,
1020021300,101,철도정비창,1,
1020021400,101,이태원천주교회,0,
1020021500,101,스페이스빌딩,0,
1020021600,101,전자랜드,1,
1020021800,101,성불사,0,
1020021900,101,순천향병원,0,
1020022100,101,용산전자상가앞교차로,1,
1020022200,104,이태원지하차도남측,0,
1020022300,101,한남오거리,1,
1020022400,101,신한은행용산전자금융센터지점,1,
1020022800,101,원효대교북단,1,
1020023000,101,성불사앞,0,
1020023100,106,청암동170,0,
1020023300,101,욱천고가차도,1,
1020023400,106,마포대교북측,0,
1020023500,101,삼성테마트,0,
1020023600,101,한남2고가차도,0,
1020023700,101,한성빌딩,1,
